Symbol,Series,Date,PC,OP,HP,LowP,LP,CP,AP,TTQ,Turnover,NOT,DQTY,DLY_QTY_TRD_QTY
FCONSUMER,EQ,08-Mar-2017,29.55,29.9,30.6,28.8,30.25,30.25,29.85,12611629,376402860,19188,3846614,30.5
FCONSUMER,EQ,09-Mar-2017,30.25,30,31.15,29.6,30.45,30.5,30.52,9486915,289494095.15,14139,4461346,47.03
FCONSUMER,EQ,10-Mar-2017,30.5,30.55,30.8,29.65,29.7,29.85,30.13,4104880,123668173.7,6522,1974099,48.09
FCONSUMER,EQ,14-Mar-2017,29.85,30.5,30.9,29.15,29.5,29.5,30,4143887,124319272.85,7771,1956853,47.22
FCONSUMER,EQ,15-Mar-2017,29.5,29.55,30.5,29.2,29.85,29.95,30.03,2905687,87256555.2,5558,1198044,41.23
FCONSUMER,EQ,16-Mar-2017,29.95,30.1,30.4,29.4,29.7,29.55,29.86,2774741,82867591.05,3730,1829495,65.93
FCONSUMER,EQ,17-Mar-2017,29.55,29.85,30,29.5,29.7,29.65,29.68,2214463,65720272.85,3401,1209745,54.63
FCONSUMER,EQ,20-Mar-2017,29.65,29.8,31.25,29.7,30.95,30.9,30.49,5698961,173762528.8,9156,2556879,44.87
FCONSUMER,EQ,21-Mar-2017,30.9,31.2,31.25,29.4,29.55,29.65,29.99,7299794,218908425.3,9391,3391597,46.46
FCONSUMER,EQ,22-Mar-2017,29.65,29.2,29.55,28.3,28.65,28.7,29,4942640,143332441.5,5542,3107314,62.87
FCONSUMER,EQ,23-Mar-2017,28.7,28.9,29,28.6,28.65,28.7,28.78,2389808,68786781.8,3030,1454245,60.85
FCONSUMER,EQ,24-Mar-2017,28.7,28.85,28.95,28.3,28.35,28.4,28.65,2322008,66520513.1,3382,1317168,56.73
FCONSUMER,EQ,27-Mar-2017,28.4,28.4,28.45,27.8,27.9,27.9,28.06,1936189,54320242.7,3844,926396,47.85
